Motion Profile: Recording - 4425 2018.03.83,,,,,,,,,
Left Output,Right Output,,Left Position,Right Position,,Left Velocity,Right Velocity,,
0.140762463,-0.265884653,,0.4032123,0,,0.390329362,0,,
0.140762463,-0.265884653,,0.40407565,2.79E-05,,0.390534619,0,,
-0.138807429,-0.265884653,,0.4055517,2.79E-05,,0.368325343,0,,
-0.138807429,-0.265884653,,0.40719485,0,,0.250280836,0,,
-0.138807429,-0.546432063,,0.40825315,0,,0.218559937,0,,
-0.138807429,-0.546432063,,0.4100634,2.79E-05,,0.269570478,0,,
-0.138807429,-0.546432063,,0.4132383,2.79E-05,,0.256593343,0,,
-0.138807429,-0.546432063,,0.4142966,2.79E-05,,0.283966352,0,,
-0.138807429,-0.546432063,,0.4151321,2.79E-05,,0.276152702,0,,
-0.138807429,-0.546432063,,0.4166917,0,,0.252951862,0,,
-0.138807429,-0.546432063,,0.41733225,2.79E-05,,0.239569892,0,,
-0.138807429,-0.546432063,,0.41866905,2.79E-05,,0.238825169,0,,
-0.138807429,-0.546432063,,0.42067425,2.79E-05,,0.234107387,0,,
-0.138807429,-0.546432063,,0.42223385,0,,0.233249581,0,,
-0.138807429,-0.546432063,,0.4229301,2.79E-05,,0.204610157,0,,
-0.138807429,-0.546432063,,0.4239327,0,,0.195370046,0,,
0.066471163,-0.546432063,,0.42468465,2.79E-05,,0.179532635,0,,
0.066471163,-0.546432063,,0.425548,2.79E-05,,0.170780316,0,,
0.066471163,-0.252199413,,0.4267177,2.79E-05,,0.312044818,0,,
0.066471163,-0.252199413,,0.4280545,2.79E-05,,0.287632326,0,,
0.066471163,-0.252199413,,0.43136865,0,,0.23364094,0,,
0.066471163,-0.252199413,,0.431675,2.79E-05,,0.232689295,0,,
0.066471163,-0.252199413,,0.43337385,2.79E-05,,0.240916955,0,,
0.066471163,-0.252199413,,0.43404225,0,,0.241021203,0,,
0.143695015,-0.252199413,,0.43526765,2.79E-05,,0.275435777,0,,
0.143695015,-0.252199413,,0.4366323,2.79E-05,,0.260706763,0,,
0.143695015,-0.138807429,,0.43805265,0,,0.27404674,0,,
0.143695015,-0.138807429,,0.4423137,2.79E-05,,0.270848529,0,,
0.143695015,-0.138807429,,0.44339985,2.79E-05,,0.263201418,0,,
0.143695015,-0.138807429,,0.4437619,2.79E-05,,0.243364282,0,,
0.143695015,-0.138807429,,0.44529365,0,,0.246187845,0,,
0.143695015,-0.138807429,,0.4462684,0,,0.252980584,0,,
0.143695015,-0.138807429,,0.44752165,0,,0.255827305,0,,
0.143695015,-0.138807429,,0.4488863,0,,0.259492197,0,,
0.143695015,-0.138807429,,0.45119785,2.79E-05,,0.252464589,0,,
0.143695015,-0.138807429,,0.45309165,2.79E-05,,0.256829971,0,,
0.143695015,-0.138807429,,0.45353725,2.79E-05,,0.251098839,0,,
0.134897361,-0.138807429,,0.45559815,0,,0.242701525,0,,
0.134897361,-0.138807429,,0.4560159,0,,0.254832437,0,,
0.134897361,-0.138807429,,0.4571299,0,,0.253700752,0,,
0.134897361,-0.130009775,,0.45827175,2.79E-05,,0.253038047,0,,
0.134897361,-0.130009775,,0.46022125,0,,0.249524023,0,,
0.134897361,-0.130009775,,0.46166945,2.79E-05,,0.246378414,0,,
0.134897361,-0.130009775,,0.4634797,2.79E-05,,0.252722323,0,,
0.134897361,-0.130009775,,0.4643152,2.79E-05,,0.262025168,0,,
0.134897361,-0.130009775,,0.4653178,2.79E-05,,0.243683692,0,,
0.132942326,-0.130009775,,0.4665432,0,,0.244057399,0,,
0.132942326,-0.130987292,,0.4676572,0,,0.241727243,0,,
0.132942326,-0.130987292,,0.46857625,0,,0.246160645,0,,
0.132942326,-0.130987292,,0.4722803,0,,0.236945656,0,,
0.132942326,-0.130987292,,0.47381205,0,,0.23800876,0,,
0.132942326,-0.130987292,,0.47425765,2.79E-05,,0.242886733,0,,
0.160312805,-0.130987292,,0.4756223,0,,0.245970413,0,,
0.160312805,-0.130987292,,0.47670845,2.79E-05,,0.244593259,0,,
0.160312805,-0.158357771,,0.47754395,0,,0.239518383,0,,
0.160312805,-0.158357771,,0.47876935,2.79E-05,,0.235941968,0,,
0.160312805,-0.158357771,,0.4817493,0,,0.222377483,0,,
0.160312805,-0.158357771,,0.48238985,2.79E-05,,0.214581527,0,,
0.160312805,-0.158357771,,0.48361525,2.79E-05,,0.249412292,0,,
0.214076246,-0.158357771,,0.48472925,2.79E-05,,0.230331852,0,,
